"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-10-20,2,0,4,3,3,8,2,0,0,0,0,8,4,1,2,2,9,39
2014-10-21,1,1,3,3,4,11,2,0,0,1,1,3,4,2,10,9,4,50
2014-10-22,2,1,2,6,2,6,2,1,0,0,1,7,5,5,13,19,12,60
2014-10-23,0,0,0,4,5,8,4,0,0,0,3,8,2,2,13,15,7,45
2014-10-24,0,1,4,8,1,3,1,1,0,0,0,6,2,1,18,24,5,46
2014-10-25,0,2,3,3,3,6,4,0,0,0,1,6,2,3,14,17,14,50
2014-10-26,0,1,2,5,0,7,1,4,0,0,0,5,0,1,9,6,15,44
2014-10-27,2,3,1,4,1,11,4,1,0,0,2,6,1,4,6,1,12,41
2014-10-28,0,0,7,4,7,4,3,2,0,0,3,8,3,2,10,16,6,54
2014-10-29,0,1,2,7,5,19,8,3,0,0,0,3,4,2,11,17,5,59
2014-10-30,0,0,1,3,2,8,5,0,0,0,0,7,3,2,29,32,10,54
2014-10-31,0,1,3,3,3,11,0,1,0,0,1,4,3,3,14,14,10,52
2014-11-01,1,1,1,2,3,4,1,0,0,0,1,7,3,1,17,11,23,36
2014-11-02,0,0,0,1,1,9,1,0,0,0,2,1,1,2,11,6,17,37
2014-11-03,0,1,0,1,3,5,7,0,0,0,3,3,2,2,2,3,9,31
2014-11-04,1,1,6,4,4,14,14,5,0,0,0,7,3,5,8,17,12,44
