"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-12-23,0,0,0,4,0,9,10,10,0,0,0,9,4,0,5,69,10,25
2014-12-24,0,0,5,0,0,3,0,0,0,0,0,9,0,2,6,29,6,9
2014-12-29,0,0,6,4,0,3,1,4,0,0,2,3,0,0,5,9,15,16
2014-12-30,0,0,0,4,0,0,0,0,0,0,8,8,0,0,3,39,17,34
2014-12-31,0,0,8,3,0,4,5,0,0,0,0,1,6,0,2,2,2,7
2015-01-05,0,10,0,10,0,0,3,0,0,0,0,2,0,0,8,21,8,34
2015-01-06,0,0,5,12,0,2,11,0,0,0,0,7,0,6,2,59,5,21
2015-01-07,3,0,0,16,15,27,30,10,0,0,0,5,1,10,11,102,2,38
2015-01-08,0,0,6,4,12,14,19,4,0,0,0,10,1,0,1,42,7,45
2015-01-09,6,0,18,19,18,7,6,0,0,0,1,10,5,5,12,42,1,77
2015-01-12,0,0,10,0,0,4,8,5,0,0,9,5,1,5,3,47,11,42
2015-01-13,3,0,8,5,14,19,5,0,0,1,2,9,5,2,14,51,12,32
2015-01-14,11,0,6,0,0,7,0,0,0,0,2,7,2,0,7,39,4,40
2015-01-15,0,5,5,12,7,5,6,0,0,0,0,4,2,0,0,43,8,87
2015-01-16,18,7,53,0,34,1,9,0,0,0,1,1,9,0,13,60,7,36
2015-01-20,0,0,19,12,8,12,8,3,0,0,0,13,0,5,19,53,18,33
2015-01-21,8,18,5,5,11,0,0,5,0,0,1,4,8,0,6,37,5,67
2015-01-22,0,0,16,11,7,10,10,0,0,4,0,20,0,2,4,27,6,51
2015-01-23,10,6,14,4,43,1,13,0,0,0,2,6,2,0,10,48,3,45
2015-01-26,0,0,12,4,15,6,3,0,0,0,1,8,3,10,6,64,13,41
2015-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2015-01-28,0,8,1,0,0,11,4,5,0,0,3,11,6,3,11,51,5,20
2015-01-29,1,16,27,1,0,3,12,4,0,0,0,10,7,10,18,66,18,41
2015-01-30,0,22,17,10,20,18,19,1,0,0,8,11,10,0,10,97,11,51
2015-02-02,0,4,18,2,19,0,14,0,0,0,0,25,3,0,7,40,22,49
2015-02-03,0,0,15,5,6,7,2,0,0,0,0,12,6,7,11,32,10,46
2015-02-04,0,0,20,9,0,8,3,7,0,0,1,29,5,5,14,59,1,47
2015-02-05,0,0,13,6,10,5,5,6,0,0,0,17,2,1,9,60,1,39
2015-02-06,6,15,16,0,10,11,8,0,0,0,5,1,0,0,13,82,6,36
2015-02-09,1,0,9,9,32,6,0,0,0,0,5,2,7,0,11,22,19,45
2015-02-10,0,0,7,0,25,12,6,3,0,0,0,9,3,0,8,83,7,44
2015-02-11,5,4,17,19,0,7,7,3,0,0,0,14,2,0,10,68,4,33
2015-02-12,5,0,0,0,14,4,8,0,0,0,0,5,0,9,2,57,4,42
2015-02-13,11,19,6,5,6,2,3,3,0,0,0,1,6,0,15,29,2,43
2015-02-17,5,10,0,7,9,14,0,0,0,0,2,5,3,0,11,58,4,62
2015-02-18,11,8,13,9,27,13,4,0,0,0,1,17,2,2,14,72,4,26
2015-02-19,0,0,17,20,22,14,4,0,0,0,0,8,15,1,7,70,4,64
2015-02-20,0,34,38,11,22,6,4,6,0,0,0,10,4,2,9,56,1,35
2015-02-23,0,10,13,7,31,15,0,4,0,0,1,9,1,1,8,17,23,30
2015-02-24,0,0,0,12,22,10,3,10,0,0,0,24,2,12,6,121,10,35
2015-02-25,0,5,32,5,0,12,21,0,0,0,7,14,6,2,10,69,9,71
2015-02-26,0,6,10,0,8,2,8,3,0,0,0,3,3,11,0,44,12,50
2015-02-27,0,0,0,10,13,27,10,0,0,0,0,2,9,7,8,36,2,57
2015-03-02,0,10,22,8,25,21,5,6,0,0,1,10,0,0,12,17,13,20
2015-03-03,0,0,16,0,16,22,3,0,0,0,0,13,0,0,7,47,6,47
2015-03-04,0,0,8,14,0,13,7,0,0,0,0,8,4,3,14,60,5,43
2015-03-06,15,23,18,0,12,0,8,4,0,0,2,3,3,0,22,40,3,51
2015-03-09,0,0,9,3,17,8,0,0,0,0,0,2,3,0,7,17,14,43
2015-03-10,0,5,5,15,7,17,17,0,0,0,3,10,0,0,4,45,7,40
2015-03-11,8,0,0,5,2,0,0,1,0,0,4,14,0,8,11,59,8,23
2015-03-12,6,0,0,13,1,7,0,4,0,0,0,12,7,0,10,72,9,63
2015-03-13,0,0,28,10,7,2,0,0,0,0,6,11,1,0,8,29,8,29
2015-03-16,0,3,0,4,7,13,23,3,0,0,9,14,5,3,21,23,13,33
2015-03-17,10,0,8,10,0,28,7,4,0,0,4,26,7,0,13,71,2,56
2015-03-18,18,0,3,12,0,3,3,4,0,0,4,6,1,2,5,81,4,32
2015-03-19,0,0,10,15,0,17,20,0,0,3,0,13,0,0,3,34,4,51
2015-03-20,0,0,3,0,0,15,5,0,0,0,7,8,0,4,13,20,0,26
2015-03-23,0,0,6,2,0,3,0,0,0,0,2,4,5,7,7,49,25,26
2015-03-24,1,7,2,8,13,8,29,0,0,0,0,26,2,0,13,77,3,49
2015-03-25,0,0,0,0,1,8,9,0,0,0,3,13,9,10,3,78,12,35
2015-03-26,14,0,19,18,27,15,9,0,0,0,0,13,7,0,7,63,12,32
2015-03-27,8,0,0,2,21,0,11,4,0,0,2,14,1,0,11,34,1,41
2015-03-30,0,6,46,13,0,15,14,0,0,0,0,16,2,2,11,60,22,24
2015-03-31,0,0,10,5,28,29,9,0,0,0,0,5,1,3,7,62,6,91
